dataset,model,accuracy_mean,accuracy_std,f1_mean,f1_std
rice,ec3_heterogeneous_ensemble,0.7412073490813649,0.1905526271971042,0.6934856961278915,0.25156211754451085
rice,ec4_rf_error_split,0.927296587926509,0.009320357430217693,0.9256235371103481,0.00950548159157406
credit_approval,ec3_heterogeneous_ensemble,0.6386713286713286,0.09314648272907955,0.5531485093647388,0.1566845984169204
credit_approval,ec4_rf_error_split,0.8529370629370628,0.03978338142946364,0.8513814904342413,0.04024857871248365
parkinsons,ec3_heterogeneous_ensemble,0.7789473684210526,0.05268418423680926,0.5096456725323357,0.1593634454905921
parkinsons,ec4_rf_error_split,0.86,0.06798239954723166,0.7608217561218036,0.15031031842530615
handwriting,ec3_heterogeneous_ensemble,0.4274829298572316,0.1492664395585049,0.3738235363419334,0.15595794733060966
handwriting,ec4_rf_error_split,0.9632774674115456,0.012711047427491613,0.9630231225629927,0.012786079720080133
