dataset,model,accuracy_mean,accuracy_std,f1_mean,f1_std
rice,ensemble_adaboost,0.9236220472440945,0.009568360175096146,0.9218530988203761,0.009801442350973882
rice,gradient_boosting,0.926246719160105,0.010786731017340954,0.9244887400621897,0.011022285101742819
credit_approval,ensemble_adaboost,0.8528904428904429,0.043821163733106884,0.8520974959645761,0.04404325895627933
credit_approval,gradient_boosting,0.8637062937062938,0.04727765223560352,0.8635911714202905,0.04727398009057317
parkinsons,ensemble_adaboost,0.8610526315789473,0.08291603736357378,0.8010298797472044,0.11447977099091314
parkinsons,gradient_boosting,0.8294736842105263,0.06763516271479697,0.7208433359355135,0.1382826884571252
handwriting,ensemble_adaboost,0.1557976412166356,0.028402796703769582,0.07542382023782708,0.02887709592958697
handwriting,gradient_boosting,0.6755555555555555,0.04620627395554887,0.6666176867396032,0.04949121844961406
