value,accuracy_mean,accuracy_std,f1_mean,f1_std
1,0.7916783216783216,0.0741985577007163,0.7915350859821013,0.07386353335451776
5,0.8405361305361305,0.05490195395239574,0.838999274932954,0.055761377562896154
10,0.8421212121212122,0.04282426865302241,0.8403887470007112,0.043736115563931824
20,0.8528205128205129,0.03824452444541879,0.8519768446539281,0.03821798658459331
30,0.8636363636363636,0.03353890349929422,0.8631217464403095,0.03359016752577307
50,0.8666433566433567,0.03865958054596221,0.8663307476329118,0.038668413691728167
