value,accuracy_mean,accuracy_std,f1_mean,f1_std
1,0.8039160839160839,0.04964277605105866,0.8034002810594283,0.04997217510356459
3,0.8330769230769229,0.0294638049186393,0.8326036548694313,0.02947893196110815
5,0.8438228438228437,0.01766370753139939,0.8434338432910817,0.017470174362269837
7,0.8652214452214452,0.02713967504847445,0.864804299937355,0.02706933546338787
9,0.8483916083916083,0.027024994031049743,0.8476974305125552,0.027301315902366615
11,0.8437995337995339,0.030555421938791585,0.8431407528531663,0.03060838822442589
