value,accuracy_mean,accuracy_std,f1_mean,f1_std
3,0.7919114219114218,0.04556761383870001,0.7916646664891938,0.045375623065954114
4,0.8147552447552447,0.02277642166364922,0.8142801484439778,0.02187278023097469
5,0.8054545454545454,0.031126030450845724,0.8047239180012694,0.030787641169972194
6,0.8055477855477855,0.04221042972447182,0.8054574313152443,0.042131144397534154
8,0.8299766899766899,0.038032815757804504,0.8297761277700053,0.037725649411423506
10,0.8238927738927739,0.037781262294563876,0.8233102679816888,0.03782041723714007
