label,n_trees,max_depth,acc,acc_std,f1,f1_std
"T=5
D=5",5,5,0.706728074618174,0.02913665122278159,0.6896592689886965,0.03322408196259278
"T=10
D=5",10,5,0.7308118422075706,0.02269174278810924,0.7152783007817203,0.02714767112611957
"T=15
D=8",15,8,0.8507417287938634,0.01650418014283158,0.8461209095214338,0.017036392484587676
"T=20
D=8",20,8,0.8573818440602352,0.01439792627776122,0.8536422552830818,0.014505933987608698
"T=20
D=10",20,10,0.8891040916437785,0.023277553026730926,0.8863668711550323,0.023551432493964308
"T=30
D=10",30,10,0.8943108881943326,0.02318422602528371,0.8917161178165989,0.023291805288159235
"T=50
D=12",50,12,0.9042755254052178,0.0216737846284976,0.9026221318886243,0.021758265269070928
