k,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
1,0.953421052631579,0.03674894235951474,0.95712719298236,0.03653290915136094,0.9534210526314821,0.03674894235951058,0.9536949684798077,0.03675549399717254
3,0.9028947368421054,0.05703245419079324,0.908602033930886,0.055823079570704925,0.902894736842016,0.057032454190786064,0.9024872775352814,0.05621817018294524
5,0.9184210526315789,0.05060574896446891,0.9247454573933878,0.046805421244084947,0.9184210526314874,0.05060574896446332,0.9190008087256437,0.04851520474147932
7,0.9128947368421054,0.055143353848711524,0.9193632518795992,0.05468823186415254,0.9128947368420155,0.05514335384870414,0.9112426463395342,0.05537904298242052
9,0.8976315789473684,0.050337503572664165,0.9034775357510378,0.050262363608515354,0.8976315789472826,0.05033750357265812,0.8938321904303649,0.05050733960585591
11,0.8771052631578946,0.055911609109745686,0.8802465723130284,0.05958674967401462,0.8771052631578133,0.05591160910973681,0.8687571877090619,0.06051380448223997
15,0.8407894736842104,0.06342323647692345,0.8350140823872163,0.09159384528631696,0.8407894736841376,0.0634232364769117,0.8177292724719283,0.08138390807703057
