trees,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
1,0.8507894736842105,0.0718382493663519,0.8624059866860806,0.07321092897827745,0.8507894736841287,0.07183824936634424,0.8502255172604419,0.06966174010453861
3,0.8813157894736843,0.08137878670272589,0.8912633145362433,0.07135593018465802,0.881315789473599,0.08137878670271848,0.8807515464578877,0.07718962438756494
5,0.8757894736842105,0.08180613526694083,0.8886510039237322,0.07278069099007713,0.8757894736841264,0.08180613526693192,0.8721535456820334,0.08206739124089447
8,0.8813157894736842,0.06638102472253117,0.8866071428570506,0.06831630839514731,0.8813157894735983,0.06638102472252318,0.8797224239174378,0.06832127232647056
10,0.8813157894736842,0.07790051543288491,0.8829977517321808,0.0861749138567085,0.8813157894735983,0.07790051543287427,0.878049754107951,0.0858628274869416
15,0.8813157894736842,0.07081294856317259,0.8800350140055062,0.08016537766566448,0.8813157894736001,0.0708129485631627,0.8757461417171808,0.0797911845640166
