value,accuracy_mean,accuracy_std,f1_mean,f1_std
1,0.8879265091863516,0.011740823751362234,0.8880014325831718,0.011898708706370945
3,0.9083989501312336,0.012988811581793814,0.9083280187914149,0.013049372517531709
5,0.9194225721784776,0.012590220425418849,0.9193647787985032,0.012650301396236522
7,0.9233595800524933,0.010151747824574122,0.923296730213349,0.010195131784842859
9,0.9267716535433073,0.012335958005249352,0.9266867854888883,0.012396849282091608
11,0.9270341207349082,0.012466500878779953,0.9269681495253069,0.01249812718738439
