value,accuracy_mean,accuracy_std,f1_mean,f1_std
3,0.9146981627296589,0.013396115648477522,0.9145754377448518,0.013485050533438273
4,0.9104986876640421,0.01110146245803497,0.9105840706747188,0.011116735701972512
5,0.9162729658792651,0.011822683075648497,0.9162427997269382,0.011842165334128222
6,0.8992125984251971,0.009904442133392756,0.8993106398012302,0.010017539120777645
8,0.8923884514435697,0.013688613974178787,0.8926064651674492,0.013626514432333219
10,0.8868766404199475,0.008661417322834652,0.8870939201981655,0.008648891289357667
