value,accuracy_mean,accuracy_std,f1_mean,f1_std
1,0.9133858267716535,0.01119723307490893,0.9132684235442523,0.011176933407591095
5,0.9233595800524934,0.011307432665899224,0.9233156832245525,0.011354858298186707
10,0.9241469816272966,0.011938651354901998,0.92417307768553,0.0119194368010878
20,0.9246719160104988,0.013125983989553797,0.9246451767979694,0.013139396701681657
30,0.927034120734908,0.013878534452915781,0.9270239937648729,0.01389608635243622
50,0.9265091863517061,0.013987309810471612,0.9264805367199356,0.014009325662472314
