architecture,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
"22-8-2,  λ=0",0.835,0.047398382337369344,0.7221187991320054,0.12257514985915777
"22-16-2, λ=0",0.8300000000000001,0.036353908293324466,0.7133423538031438,0.10991514224597472
"22-16-2, λ=0.01",0.835,0.047398382337369344,0.7221187991320054,0.12257514985915777
"22-16-2, λ=0.1",0.8405263157894737,0.037571722731736305,0.7290781190112336,0.11762134963338497
"22-16-2, λ=1",0.8400000000000001,0.051201627397959186,0.7275836624882766,0.12830636849363244
"22-32-2, λ=0",0.8452631578947368,0.053282813099020505,0.7380156510132804,0.1327206897240342
"22-32-2, λ=0.01",0.825,0.03669613941819282,0.7079707708995799,0.11190256181775302
"22-16-8-2, λ=0",0.8150000000000001,0.041792423334851565,0.6724288989784304,0.1341584594727127
"22-16-8-2, λ=0.01",0.8200000000000001,0.04818305353751925,0.6585217896942572,0.1599402832398761
