n_trees,max_depth,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
1,10,0.8507894736842105,0.0718382493663519,0.798236770412896,0.08839250348295934
5,10,0.8757894736842105,0.08180613526694083,0.825932801182479,0.10865387719317716
10,10,0.8813157894736842,0.07790051543288491,0.8339833260294409,0.11951539974876171
20,10,0.876315789473684,0.0710818653310911,0.821889426001032,0.11133170039105107
30,10,0.906578947368421,0.06535911875501485,0.8512769589661497,0.11359072111408465
40,10,0.9013157894736841,0.0648058040901223,0.8478756328173283,0.10965175744749654
50,10,0.8963157894736842,0.06661794156609879,0.8424001887211963,0.10994341177659969
